Season,Id,Player,Rating
2015,1,LeBron James,98
2015,2,Kevin Durant,95
2015,3,Chris Paul,91
2015,4,Tim Duncan,90
2015,5,Carmelo Anthony,89
2015,5,Stephen Curry,89
2015,5,Paul George,89
2015,5,Kevin Love,89
2015,5,Kobe Bryant,89
2015,10,LaMarcus Aldridge,88
2015,10,Anthony Davis,88
2015,10,James Harden,88
2015,10,Dwight Howard,88
2015,10,Dirk Nowitzki,88
2015,10,Tony Parker,88
2015,10,Derrick Rose,88
2015,10,Russell Westbrook,88
2015,18,Blake Griffin,87
2015,18,Al Jefferson,87
2015,18,Damian Lillard,87
2015,18,Joakim Noah,87
2015,18,Rajon Rondo,87
2015,23,DeMarcus Cousins,86
2015,23,Kyrie Irving,86
2015,23,Dwyane Wade,86
2015,23,John Wall,86
2015,27,Marc Gasol,85
2015,27,Kawhi Leonard,85
2015,27,Kyle Lowry,85
2015,27,Paul Millsap,85
2015,31,Chris Bosh,84
2015,31,Goran Dragic,84
2015,31,Serge Ibaka,84
2015,31,Ty Lawson,84
2015,31,Zach Randolph,84
2015,31,Lance Stephenson,84
2015,31,Deron Williams,84
2015,38,Mike Conley,83
2015,38,DeMar DeRozan,83
2015,38,Andre Drummond,83
2015,38,Manu Ginobili,83
2015,38,Al Horford,83
2015,38,Brook Lopez,83
2015,44,Monta Ellis,82
2015,44,Pau Gasol,82
2015,44,Rudy Gay,82
2015,44,Jrue Holiday,82
2015,44,Andre Iguodala,82
2015,44,Joe Johnson,82
2015,44,David Lee,82
2015,44,Klay Thompson,82
2015,44,Kemba Walker,82
2015,53,Eric Bledsoe,81
2015,53,Kenneth Faried,81
2015,53,Marcin Gortat,81
2015,53,Gordon Hayward,81
2015,53,DeAndre Jordan,81
2015,53,Nikola Pekovic,81
2015,53,Paul Pierce,81
2015,60,Andrew Bogut,80
2015,60,Jimmy Butler,80
2015,60,Michael Carter-Williams,80
2015,60,Jamal Crawford,80
2015,60,Taj Gibson,80
2015,60,Roy Hibbert,80
2015,60,Nenê,80
2015,60,Brandon Jennings,80
2015,60,Greg Monroe,80
2015,60,Isaiah Thomas,80
2015,60,Nikola Vucevic,80
2015,60,David West,80
2015,60,Josh Smith,80
2015,73,Nicolas Batum,79
2015,73,Tyson Chandler,79
2015,73,Darren Collison,79
2015,73,Luol Deng,79
2015,73,Eric Gordon,79
2015,73,Brandon Knight,79
2015,73,Chandler Parsons,79
2015,73,Ricky Rubio,79
2015,73,Kevin Martin,79
2015,73,Larry Sanders,79
2015,83,Arron Afflalo,78
2015,83,Tony Allen,78
2015,83,Trevor Ariza,78
2015,83,Patrick Beverley,78
2015,83,Avery Bradley,78
2015,83,Jose Calderon,78
2015,83,Wilson Chandler,78
2015,83,Boris Diaw,78
2015,83,Tyreke Evans,78
2015,83,Derrick Favors,78
2015,83,Gerald Green,78
2015,83,Jeff Green,78
2015,83,Danny Green,78
2015,83,Gerald Henderson,78
2015,83,George Hill,78
2015,83,Reggie Jackson,78
2015,83,Kyle Korver,78
2015,83,Wesley Matthews,78
